total_points, spatial_dimensions, k, iterations, cons_time, time_par, time_seq
4000, 5, 4, 20, 53.441µs, 4.614267ms, 4.805173ms
4000, 5, 8, 20, 53.89µs, 5.750314ms, 8.57657ms
4000, 5, 16, 20, 59.184µs, 7.665165ms, 14.945828ms
4000, 5, 32, 20, 59.825µs, 11.83269ms, 27.041627ms
4000, 5, 64, 20, 82.028µs, 18.820463ms, 49.11785ms
4000, 5, 128, 20, 87.334µs, 31.505878ms, 91.387981ms
4000, 5, 256, 20, 25.657µs, 56.590782ms, 182.019494ms
4000, 5, 512, 13, 83.913µs, 67.419289ms, 241.016314ms

2000, 5, 4, 20, 85.591µs, 3.712242ms, 2.835593ms
2000, 5, 8, 20, 52.349µs, 3.674238ms, 4.134882ms
2000, 5, 16, 20, 175.999µs, 5.082461ms, 8.095775ms
2000, 5, 32, 20, 56.461µs, 6.624236ms, 14.827066ms
2000, 5, 64, 20, 66.593µs, 11.1582ms, 25.362878ms
2000, 5, 128, 20, 14.553µs, 19.84505ms, 47.659281ms
2000, 5, 256, 10, 28.276µs, 15.353711ms, 45.35074ms
2000, 5, 512, 7, 107.409µs, 22.229467ms, 64.085588ms

2000, 10, 4, 20, 55.125µs, 3.307569ms, 3.076111ms
2000, 10, 8, 20, 57.751µs, 4.049082ms, 6.449954ms
2000, 10, 16, 20, 59.987µs, 5.492669ms, 10.600379ms
2000, 10, 32, 17, 70.223µs, 6.576209ms, 16.018686ms
2000, 10, 64, 20, 309.885µs, 13.197195ms, 33.245116ms
2000, 10, 128, 19, 17.5µs, 20.706489ms, 58.232606ms
2000, 10, 256, 9, 31.014µs, 15.997742ms, 54.446746ms
2000, 10, 512, 7, 46.455µs, 23.731802ms, 88.117832ms
